City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Flinders,AU,-34.5833,150.8552,67.21,63,61,4.94,broken clouds
277,Najran,SA,17.4924,44.1277,59.65,36,0,0.96,clear sky
278,Chimbote,PE,-9.0853,-78.5783,63.99,83,69,8.48,broken clouds
279,Ingham,US,42.6,-84.3833,39.15,76,1,11.5,clear sky
280,Pabna,BD,24.0,89.25,64.99,77,4,6.85,clear sky
281,San Cristobal,VE,7.7669,-72.225,71.78,92,99,2.19,overcast clouds
282,Komsomolskiy,UZ,40.4272,71.7189,41.72,65,100,9.22,haze
283,Cortland,US,42.6001,-76.083,36.72,84,40,0.0,scattered clouds
284,Svetlyy,RU,54.675,20.1347,39.25,89,24,8.01,few clouds
285,Aykhal,RU,66.0,111.5,-8.39,100,99,3.78,overcast clouds
286,Shitanjing,CN,39.2342,106.3439,32.58,31,0,4.0,clear sky
287,Sinnai,IT,39.3042,9.2036,53.74,88,0,5.75,clear sky
288,Rawson,AR,-43.3002,-65.1023,56.17,45,0,25.99,clear sky
289,Minsk,BY,53.9,27.5667,33.55,83,21,6.64,few clouds
290,Khandyga,RU,62.6667,135.6,-24.66,100,64,0.56,broken clouds
291,Gidole,ET,5.65,37.3667,56.71,72,57,2.68,broken clouds
292,Bukachacha,RU,52.9833,116.9167,22.53,94,100,5.86,snow
293,Porto Belo,BR,-27.1578,-48.5531,73.38,90,63,9.08,broken clouds
294,Puerto Leguizamo,CO,-0.1934,-74.7819,77.61,68,92,2.95,overcast clouds
295,Puerto Escondido,MX,15.85,-97.0667,83.23,65,40,0.0,scattered clouds
296,Kendari,ID,-3.945,122.4989,74.32,91,100,4.7,overcast clouds
297,Bundaberg,AU,-24.85,152.35,85.21,56,40,5.01,scattered clouds
298,Bandarbeyla,SO,9.4942,50.8122,76.28,68,28,4.45,scattered clouds
299,Kawalu,ID,-7.3817,108.2082,76.28,87,93,1.3,overcast clouds
300,Pangnirtung,CA,66.1451,-65.7125,3.51,64,11,5.86,few clouds
301,Menongue,AO,-14.6585,17.691,68.47,62,86,2.62,overcast clouds
302,Poso,ID,-1.3959,120.7524,82.53,68,99,1.21,overcast clouds
303,Chapais,CA,49.7834,-74.8492,22.78,83,95,7.52,light snow
304,Rebrikha,RU,53.0733,82.3408,11.05,98,78,2.24,broken clouds
305,Bonavista,CA,48.6499,-53.1147,43.12,72,61,31.29,broken clouds
306,Utete,TZ,-7.986,38.758,74.95,82,44,1.88,scattered clouds
307,Pisco,PE,-13.7,-76.2167,64.45,82,0,10.36,clear sky
308,Touros,BR,-5.1989,-35.4608,81.5,73,1,16.44,clear sky
309,Audru,EE,58.4086,24.3739,42.96,91,100,11.07,overcast clouds
310,Ramshir,IR,30.8946,49.4092,62.35,45,66,9.13,broken clouds
311,Grindavik,IS,63.8424,-22.4338,34.27,80,75,9.22,broken clouds
312,Saint-Louis,SN,16.3333,-15.0,78.44,41,75,10.56,broken clouds
313,Flin Flon,CA,54.7682,-101.865,26.44,86,90,13.8,light snow
314,Tibati,CM,6.4667,12.6333,70.23,78,56,2.89,broken clouds
315,Lerwick,GB,60.1545,-1.1494,46.4,62,93,24.63,overcast clouds
316,Nemuro,JP,43.3236,145.575,41.43,61,15,18.77,few clouds
317,Masallatah,LY,32.6167,14.0,63.7,36,73,18.21,broken clouds
318,Tautira,PF,-17.7333,-149.15,86.02,80,98,16.11,overcast clouds
319,Abha,SA,18.2164,42.5053,53.85,71,0,0.0,clear sky
320,Nome,US,64.5011,-165.4064,12.27,58,1,10.36,clear sky
321,Akdepe,TM,42.0551,59.3788,32.09,89,97,20.36,light snow
322,Zyryanka,RU,65.75,150.85,1.49,96,100,14.72,light snow
323,Okha,RU,53.5739,142.9478,26.49,67,100,17.18,overcast clouds
324,Bowen,AU,-20.0167,148.2333,86.22,67,13,14.18,few clouds
325,Rocha,UY,-34.4833,-54.3333,56.75,78,100,17.38,overcast clouds
326,Zarand,IR,30.8127,56.564,49.57,39,98,4.21,overcast clouds
327,Dalaba,GN,10.7,-12.25,63.0,70,8,2.06,clear sky
328,Maldonado,UY,-34.6667,-54.9167,58.39,78,100,16.11,overcast clouds
329,Kampot,KH,10.6167,104.1833,80.65,92,99,5.57,overcast clouds
330,Millville,US,39.4021,-75.0393,45.93,68,1,0.0,clear sky
331,Monrovia,LR,6.3005,-10.7969,79.92,80,92,6.91,overcast clouds
332,Kerrobert,CA,51.9168,-109.1348,25.0,91,100,31.38,light snow
333,Saldanha,ZA,-33.0117,17.9442,57.25,86,11,9.69,few clouds
334,Asbury Park,US,40.2204,-74.0121,48.15,57,1,5.75,clear sky
335,Maneromango,TZ,-7.1988,38.7848,66.99,97,20,1.68,few clouds
336,Michelstadt,DE,49.6736,9.0025,44.22,94,100,2.68,overcast clouds
337,Saurimo,AO,-9.6608,20.3916,64.85,97,100,4.05,overcast clouds
338,Malanje,AO,-9.5402,16.341,64.06,99,100,2.37,overcast clouds
339,Dutlwe,BW,-23.9833,23.9,78.6,36,86,10.85,overcast clouds
340,Bandar,ID,2.05,99.75,73.06,91,100,2.28,overcast clouds
341,Angoram,PG,-4.0625,144.0661,85.77,68,100,2.13,overcast clouds
342,Pontalina,BR,-17.525,-49.4472,69.66,77,34,5.41,scattered clouds
343,Bozoum,CF,6.3193,16.3799,71.11,83,80,3.91,broken clouds
344,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,64,75,10.0,broken clouds
345,Salta,AR,-24.7859,-65.4117,54.19,95,90,1.99,overcast clouds
346,Gat,IL,31.61,34.7642,69.4,47,97,4.99,overcast clouds
